postcode,cases
2643,511
2594,2730
2571,3772
2289,6074
2042,6143
2585,43
2725,45
2880,3772
2732,199
2284,3480
2806,153
2500,12981
2111,4426
2305,3794
2156,3309
2658,239
2179,4931
2775,202
2803,35
2397,51
2628,372
2297,592
2566,8252
2290,9981
2706,237
2010,8083
2359,76
2731,1027
2317,1194
2221,4921
2306,825
2262,6147
2466,199
2484,3338
2575,4214
2358,591
2675,252
2629,112
2347,266
2445,1427
2641,3535
2130,2001
2573,1661
2556,565
2835,735
2157,987
2040,6758
2380,2832
2738,491
2294,665
2865,184
2200,14497
2281,3623
2172,894
2105,396
2681,391
2212,5283
2379,43
2611,133
2864,203
2015,3429
2318,3559
2644,349
2782,1150
2043,3087
2905,1
2473,506
2280,6881
2048,2326
2773,1550
2027,1829
2088,6691
2079,2163
2800,13221
2344,128
2465,52
2082,1281
2621,1316
2049,3721
2656,208
2794,2067
2875,140
2874,64
2649,6
2671,909
2535,1609
2842,85
2009,3377
2067,6045
2360,3110
2833,103
2551,523
2140,6035
2104,781
2406,112
2026,11095
2354,515
2339,119
2000,9344
2097,4762
2844,185
2138,4923
2633,58
2762,7028
2810,442
2205,7421
2734,51
2581,460
2034,6637
2258,1389
2134,5283
2845,569
2646,996
2231,740
2062,1875
2798,483
2127,5824
2069,3620
2422,762
2113,7901
2259,18547
2214,1264
2826,30
2282,4086
2031,10408
2075,5268
2557,6238
2395,88
2346,421
2619,2236
2219,3819
2411,13
2408,24
2533,4053
2211,5001
2871,1797
2780,2458
2295,1882
2506,2436
2176,13675
2192,4518
2479,1297
2423,619
2065,7595
2645,38
2779,1084
2526,5132
2618,173
2233,9081
2087,3632
2852,740
2748,471
2768,8967
2527,8218
2625,91
2209,4745
2627,1278
2337,1552
2669,255
2672,315
2778,503
2564,4023
2469,468
2164,6188
2029,3020
2124,1
2154,10676
2197,3023
2827,551
2560,24383
2046,7642
2315,3184
2120,5208
2828,132
2178,978
2446,3108
2715,248
2122,6970
2250,17548
2821,1039
2569,376
2752,1595
2204,8168
2678,111
None,1849
2334,1017
2478,6372
2114,6402
2110,2492
2878,44
2462,359
2090,3103
2470,2735
2092,2130
2312,329
2193,5104
2463,1100
2096,4437
2866,782
2519,4732
2830,12284
2370,1192
2424,62
2429,1975
2256,3769
2747,16963
2867,143
2086,4105
2568,273
2039,2520
2587,445
2653,465
2085,3127
2652,872
2132,2968
2228,6207
2388,450
2356,23
2578,495
2763,10302
2064,2167
2150,9358
2707,232
2659,125
2126,4751
2823,195
2303,2799
2481,4465
2073,4409
2278,796
2761,11718
2293,1092
2019,4396
2121,7823
2570,18779
2322,7395
2622,627
2663,1057
2177,4744
2537,2160
2135,7931
2260,6795
2222,3541
2170,31974
2449,356
2323,6920
2028,1227
2387,37
2545,157
2227,4469
2136,2216
2144,13043
2146,5491
2119,2786
2400,2466
2516,1937
2661,619
2038,2672
2808,28
2207,8262
2624,7
2834,312
2341,287
2640,8348
2107,3716
2460,5461
2115,3287
2456,3330
2071,3135
2426,158
2774,3298
2444,10871
2217,8461
2011,4792
2267,655
2850,4157
2759,8115
2488,765
2666,881
